"Summary","Issue Type","Priority","Epic Link","Description","Story Points","Labels","Component/s","Acceptance Criteria"
"Validate: Fitness center speaker calc vs manual","Task","High","Phase 4: Tier 2 Knowledge Base","Test: 2000 sqft fitness, 14ft exposed ceilings. Compare agent output to CTS-D manual calculation.","2","phase-4,testing","Knowledge Base","Agent speaker count within 10% of manual calc"
"Validate: Conference room display sizing","Task","High","Phase 4: Tier 2 Knowledge Base","Test: Conference room, farthest viewer at 20ft. Verify display size follows V201.01.","2","phase-4,testing","Knowledge Base","Agent recommends correct display size per AVIXA standard"
"Phase 5: AI Design Agent","Epic","High","","Build conversational AI agent with Claude API integrated into design canvas. Dual-mode operation.","","phase-5","Agent",""
"Design agent chat panel UI","Story","High","Phase 5: AI Design Agent","Collapsible chat panel on right side of canvas. Message history, typing indicator, context summary showing active zone and device count.","5","phase-5,ui","Agent","Chat panel opens/closes, messages display correctly, context updates on zone selection"
"Implement Claude API integration","Story","High","Phase 5: AI Design Agent","API key management, system prompt with library/room types/intelligence, conversation history, streaming responses.","8","phase-5","Agent","Agent responds to queries with <3 second latency, maintains conversation context"
"Build agent tool-use: place equipment","Story","High","Phase 5: AI Design Agent","Agent can call function to place equipment on canvas at specified coordinates.","5","phase-5","Agent","Agent places equipment on canvas with correct symbol and position"
"Build agent tool-use: create zones","Story","Medium","Phase 5: AI Design Agent","Agent can create zones on canvas with specified bounds, name, type, sqft.","3","phase-5","Agent","Agent creates zones that match specified parameters"
"Build agent tool-use: calculate BOQ","Story","Medium","Phase 5: AI Design Agent","Agent can trigger BOQ recalculation and read results.","3","phase-5","Agent","Agent accurately reports BOQ totals"
"Implement designer-driven validation","Story","High","Phase 5: AI Design Agent","Designer triggers ""Check my design"" — agent analyzes canvas and reports gaps, oversights, sizing issues.","8","phase-5","Agent","Agent identifies: missing NVR for cameras, undersized switches, speaker coverage gaps"
"Implement agent-driven design flow","Story","High","Phase 5: AI Design Agent","Agent runs design questionnaire, performs coverage calcs, selects equipment, places on canvas with reasoning.","13","phase-5","Agent","Agent produces complete design for 5-zone hospitality project approved by CTS-D designer"
"Implement equipment substitution","Story","Medium","Phase 5: AI Design Agent","Agent swaps equipment across zones with equivalent models (e.g., swap JBL for QSC).","5","phase-5","Agent","Substitution maintains coverage requirements and updates BOQ correctly"
"Implement infrastructure auto-sizing","Story","High","Phase 5: AI Design Agent","Agent calculates amp, DSP, switch, NVR requirements based on device totals and specs.","8","phase-5","Agent","Infrastructure correctly sized: amp watts match speaker load, switch PoE budget sufficient, NVR storage adequate"
"Smart recommendation triggers","Story","Medium","Phase 5: AI Design Agent","Agent proactively suggests when user adds equipment: camera→NVR, speakers→amp, etc.","5","phase-5","Agent","Adding a camera triggers NVR suggestion. Adding speakers triggers amp suggestion."
"Validate: Full restaurant design","Task","High","Phase 5: AI Design Agent","Test: 3000 sqft restaurant, 12ft exposed ceilings. Agent must ask about finishes and use case before designing.","3","phase-5,testing","Agent","Agent asks ≥3 environmental questions before placing equipment"
"Validate: Gap detection","Task","High","Phase 5: AI Design Agent","Place 10 cameras, no NVR. Trigger check. Verify agent flags gap with storage calculation.","2","phase-5,testing","Agent","Agent identifies missing NVR and calculates required storage"
"Validate: Context window management","Task","Medium","Phase 5: AI Design Agent","Create 5 zones with 50+ devices. Verify agent stays under token limit and remains responsive.","3","phase-5,testing","Agent","Agent responds correctly with full project context loaded"
"Phase 6: Tier 3 RAG Pipeline","Epic","Medium","","Vector-indexed document store for full AVIXA/CEDIA library and historical project data.","","phase-6","RAG",""
"Evaluate and select vector store","Task","High","Phase 6: Tier 3 RAG Pipeline","Compare ChromaDB, Pinecone, FAISS. Select based on: cost, latency, ease of deployment, scale needs.","3","phase-6","RAG","Decision documented with rationale"
"Build PDF/DOCX text extraction pipeline","Story","High","Phase 6: Tier 3 RAG Pipeline","Extract text from AVIXA/CEDIA PDFs, chunk by section/heading, 500-token chunks with 50-token overlap.","5","phase-6","RAG","Text extracted from 10 sample documents with correct section boundaries"
"Build embedding and indexing pipeline","Story","High","Phase 6: Tier 3 RAG Pipeline","Generate embeddings, index with metadata (source, section, page, standard ID, topic).","5","phase-6","RAG","Documents indexed and searchable by topic"
"Build retrieval query pipeline","Story","High","Phase 6: Tier 3 RAG Pipeline","Agent query → embedding → vector search → top-K → relevance filter → context injection with citation.","8","phase-6","RAG","Retrieval returns relevant chunks in <500ms with correct citations"
"Build historical project ingestion","Story","Medium","Phase 6: Tier 3 RAG Pipeline","After project completion, ingest final BOQ. Schema: project name, type, zones, equipment, actuals, margins.","5","phase-6","RAG","Completed project data stored and queryable"
"Validate: Standards question via RAG","Task","High","Phase 6: Tier 3 RAG Pipeline","Ask about speaker placement in 20ft+ ceilings. Verify RAG retrieval with citation.","2","phase-6,testing","RAG","Agent retrieves relevant standard and cites document/section"
"Validate: Historical project query","Task","Medium","Phase 6: Tier 3 RAG Pipeline","Ingest 3 projects, query average camera count per parking garage. Verify accuracy.","2","phase-6,testing","RAG","Agent returns correct average from historical data"
"Phase 7: Vision Engine","Epic","Medium","","AI-powered floor plan interpretation for automatic zone identification.","","phase-7","Vision",""
"Implement Claude Vision floor plan analysis","Story","High","Phase 7: Vision Engine","Send floor plan image to Claude Vision API. Identify room boundaries, doors, windows, text labels.","8","phase-7","Vision","Room boundaries identified in ≥80% of test floor plans"
"Implement room type classification","Story","High","Phase 7: Vision Engine","Classify rooms by type using text labels + spatial reasoning (size, adjacency, fixtures).","5","phase-7","Vision","Room types correctly classified ≥70% of the time"
"Implement dimension estimation","Story","Medium","Phase 7: Vision Engine","Estimate room dimensions from scale bar or known reference. Calculate sqft.","5","phase-7","Vision","Sqft estimates within ±15% of actual"
"Build zone proposal review UI","Story","High","Phase 7: Vision Engine","Overlay proposed zones on floor plan. Designer accepts, rejects, modifies. Corrections feed back.","5","phase-7,ui","Vision","Designer can accept/reject/edit each proposed zone"
"Validate with 5 real floor plans","Task","High","Phase 7: Vision Engine","Test with hotel, office, residential, restaurant, mixed-use floor plans. Measure accuracy.","3","phase-7,testing","Vision","≥80% room identification, ≥70% type classification, ±15% sqft across 5 plans"
"Phase 8: Project Management","Epic","Low","","Multi-project dashboard, templates, revision history, customer database, margin tracking.","","phase-8","Project Management",""
"Build project dashboard","Story","Medium","Phase 8: Project Management","List all projects with status, last modified, total value, margin. Sort and filter.","8","phase-8,ui","Project Management","User can view and manage 10+ projects from dashboard"
"Build project templates","Story","Medium","Phase 8: Project Management","Pre-built templates (hotel, office, restaurant, residential) that load room types and typical equipment.","5","phase-8","Project Management","Template creates project with pre-populated zones and room types"
"Build revision history","Story","Medium","Phase 8: Project Management","Track changes between proposal versions. Compare BOQ diffs.","5","phase-8","Project Management","User can view diff between two proposal versions"
"Build customer database","Story","Low","Phase 8: Project Management","Client info, project history, contact details. Link projects to clients.","5","phase-8","Project Management","Client record shows all associated projects and total revenue"
"Build margin tracking dashboard","Story","Medium","Phase 8: Project Management","Equipment margin, labor margin, blended margin by project and across portfolio.","5","phase-8","Project Management","Portfolio view shows margin trends across projects"
"Phase 9: Integrations","Epic","Low","","QuickBooks, distributor pricing feeds, manufacturer spec import, cloud storage, CRM.","","phase-9","Integrations",""
"QuickBooks export integration","Story","Medium","Phase 9: Integrations","Push approved proposals to QuickBooks as invoices/estimates.","8","phase-9","Integrations","Approved proposal creates QuickBooks invoice with correct line items"
"Distributor pricing feed import","Story","Medium","Phase 9: Integrations","Scheduled import from ADI, Anixter, SnapOne Portal. Update library costs.","8","phase-9","Integrations","Library costs update within 24 hours of distributor price change"
"Manufacturer spec auto-import","Story","Low","Phase 9: Integrations","Parse manufacturer product pages into library entries via URL.","5","phase-9","Integrations","Agent correctly parses product specs from manufacturer URL"
"Cloud storage sync","Story","Low","Phase 9: Integrations","Google Drive / Dropbox / OneDrive sync for project files and proposals.","5","phase-9","Integrations","Project files sync to selected cloud storage provider"
"CRM integration","Story","Low","Phase 9: Integrations","Salesforce or HubSpot pipeline sync. Projects mapped to CRM opportunities.","8","phase-9","Integrations","Project status syncs to CRM opportunity stage"
"Regression Testing Suite","Epic","High","","Automated regression tests for all completed phases. Run after every build.","","regression","Testing",""
"Canvas regression test suite","Task","High","Regression Testing Suite","Automated tests for: PDF/image loading, symbol placement, zone drawing, zoom/pan/scale, BOQ export.","5","regression,testing","Testing","All canvas features pass after new build"
"Proposal generator regression tests","Task","Medium","Regression Testing Suite","Automated tests for: document generation, pricing accuracy, formatting validation.","3","regression,testing","Testing","Proposal generates without errors and pricing matches BOQ"
"Parts import regression tests","Task","Medium","Regression Testing Suite","Automated tests for: CSV/TSV/unstructured parsing, manufacturer recognition, export formats.","3","regression,testing","Testing","All input formats parse correctly, Control4/SnapOne classified correctly"
"Real project validation — Hotel","Task","High","Regression Testing Suite","Run completed hotel project through system. Compare output to actual installed BOQ.","5","regression,testing,validation","Testing","Output within tolerances: ±15% equipment count, ±10% cost, ±20% labor"
"Real project validation — Office","Task","High","Regression Testing Suite","Run completed office project through system. Compare output to actual.","5","regression,testing,validation","Testing","Output within tolerances"
"Real project validation — Restaurant","Task","High","Regression Testing Suite","Run completed restaurant project through system. Compare output to actual.","5","regression,testing,validation","Testing","Output within tolerances"
